id,city,name,stars,pricePerNightRub,rating,area,nearMetro,features
# MOSCOW
mos-azure,Москва,Отель "Лазурный Арбат",4,8900,4.6,Арбат,Смоленская,Завтрак;Wi-Fi;Вид на город;Поздний выезд
mos-bolt,Москва,Гостиница "Бизнес Болт",3,5400,4.2,Белорусская,Белорусская,Wi-Fi;Рабочее место;Трансфер
mos-river,Москва,Бутик-отель "Речной Причал",5,17600,4.8,Парк Горького,Октябрьская,SPA;Ресторан;Фитнес;Панорамные окна
mos-budget,Москва,Мини-отель "Тёплый дворик",2,3200,4.0,Сокольники,Сокольники,Wi-Fi;Общая кухня;Тихий двор

# SAINT PETERSBURG
spb-nevsky,Санкт-Петербург,Отель "Невский 24",4,7600,4.5,Невский проспект,Маяковская,Завтрак;Wi-Fi;Пешком до центра
spb-bridges,Санкт-Петербург,Отель "Белые Мосты",5,15900,4.7,Петроградская,Петроградская,SPA;Ресторан;Вид на воду;Консьерж
spb-loft,Санкт-Петербург,Апарт-отель "Лофт на Лиговке",3,5100,4.3,Лиговский проспект,Лиговский проспект,Кухня в номере;Wi-Fi;Самозаселение
spb-budget,Санкт-Петербург,Гостевой дом "Тихая парадная",2,2900,4.1,Васильевский остров,Василеостровская,Wi-Fi;Общая кухня;Рядом набережная

# KAZAN
kzn-kremlin,Казань,Отель "Кремль Плаза",4,6900,4.6,Центр,Кремлёвская,Завтрак;Wi-Fi;Вид на Кремль;Рядом музеи
kzn-river,Казань,Бутик-отель "Волжская Линия",5,14200,4.8,Набережная,Козья слобода,SPA;Ресторан;Панорамный бар
kzn-family,Казань,Семейный отель "Чак-Чак",3,4700,4.4,Квартал,Площадь Тукая,Завтрак;Wi-Fi;Семейные номера
kzn-budget,Казань,Хостел "Универ Лайт",2,2100,4.2,Университетская,Кремлёвская,Wi-Fi;Коворкинг;Общая кухня

# SOCHI
sch-sea,Сочи,Отель "Морская Терраса",4,9200,4.6,Центр у моря,Морпорт,Завтрак;Wi-Fi;Балкон;До пляжа 7 минут
sch-mountain,Сочи,Отель "Горный Ветер",5,18800,4.9,Красная Поляна,Роза Хутор,SPA;Ски-рум;Трансфер;Вид на горы
sch-park,Сочи,Апарт-отель "Парк Лето",3,6100,4.4,Парк,Дендрарий,Кухня в номере;Wi-Fi;Парковка
sch-budget,Сочи,Гостевой дом "Южный Свет",2,3400,4.1,Адлер,Олимпийский парк,Wi-Fi;Общая кухня;Дворик
